:START_ID,:END_ID,:TYPE
country::IND,observation::IND::BM.GSR.TRVL.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::BM.GSR.NFSV.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::BM.GSR.FCTY.CD::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.SRF.TOTL.K2::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.PRD.CREL.MT::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.LND.PRCP.MM::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.LND.EL5M.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.LND.EL5M.RU.K2::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.LND.ARBL.HA.PC::2015,HAS_OBSERVATION
country::IND,observation::IND::AG.CON.FERT.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.TBS.DTEC.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.SVR.WAST.FE.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.SUIC.FE.P5::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.STNT.ME.FE.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.SMSS.UR.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.POIS.P5::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.OWGH.ME.FE.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.MMRT.NE::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.STA.MALN.FE.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.PRV.SMOK.MA::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.MMR.RISK.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.MED.NUMW.P3::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.IMM.IDPT::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.H2O.SMDW.RU.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.DYN.NCOM.FE.ZS::2015,HAS_OBSERVATION
country::IND,observation::IND::SH.DYN.1014::2015,HAS_OBSERVATION
